player_id,player_name,club_id,start_date,end_date,manager_id,manager_name,start_value,peak_value,end_value
207302,Sergio Rico,931,2018-08-11,2018-11-11,60,Slavisa Jokanovic,12000000,,12000000
207302,Sergio Rico,931,2018-11-24,2019-02-27,12,Claudio Ranieri,12000000,12000000,12000000
207302,Sergio Rico,931,2019-03-03,2019-05-12,57,Scott Parker,12000000,,12000000
119269,Shane Duffy,931,2022-08-06,2023-05-20,31,Marco Silva,5000000,4000000,2500000
61417,Shaun Hutchinson,931,2016-01-09,2016-01-09,60,Slavisa Jokanovic,500000,,500000
236510,Sheyi Ojo,931,2018-01-06,2018-01-06,60,Slavisa Jokanovic,2000000,,2000000
42198,Sone Aluko,931,2017-01-08,2017-02-19,60,Slavisa Jokanovic,2000000,,2000000
62008,Stefan Johansen,931,2017-01-08,2018-11-11,60,Slavisa Jokanovic,3000000,4500000,4500000
62008,Stefan Johansen,931,2018-11-24,2019-02-27,12,Claudio Ranieri,4500000,4000000,4000000
62008,Stefan Johansen,931,2019-03-03,2020-10-04,57,Scott Parker,4000000,4000000,3200000
657724,Stefan Parkes,931,2022-10-01,2022-10-01,31,Marco Silva,,,
354567,Stephen Humphrys,931,2017-01-08,2017-01-08,60,Slavisa Jokanovic,,,
381469,Steven Benda,931,2024-01-27,2024-01-27,31,Marco Silva,1000000,,1000000
406558,Steven Sessegnon,931,2018-01-06,2018-11-11,60,Slavisa Jokanovic,,,
406558,Steven Sessegnon,931,2018-11-24,2019-02-27,12,Claudio Ranieri,,,
406558,Steven Sessegnon,931,2019-03-03,2020-01-26,57,Scott Parker,,2500000,2500000
502074,Sylvester Jasper,931,2020-01-04,2021-05-23,57,Scott Parker,,250000,250000
351502,Tayo Edun,931,2017-01-08,2017-01-08,60,Slavisa Jokanovic,,,
152651,Terence Kongolo,931,2020-01-26,2021-04-09,57,Scott Parker,12000000,10000000,4000000
434015,Terry Ablade,931,2022-08-20,2022-08-30,31,Marco Silva,,,
82110,Thanos Petsos,931,2017-01-29,2017-01-29,60,Slavisa Jokanovic,1000000,,1000000
145466,Tim Ream,931,2016-01-09,2018-11-11,60,Slavisa Jokanovic,1500000,3500000,3500000
145466,Tim Ream,931,2018-11-24,2019-02-27,12,Claudio Ranieri,3500000,3500000,3500000
145466,Tim Ream,931,2019-03-03,2021-05-23,57,Scott Parker,3500000,4000000,800000
145466,Tim Ream,931,2022-01-08,2024-03-16,31,Marco Silva,500000,1000000,1000000
262226,Timothy Castagne,931,2024-01-24,2024-03-16,31,Marco Silva,17000000,,17000000
315131,Timothy Fosu-Mensah,931,2018-08-11,2018-11-11,60,Slavisa Jokanovic,7000000,,7000000
315131,Timothy Fosu-Mensah,931,2018-11-24,2019-02-27,12,Claudio Ranieri,7000000,7000000,7000000
315131,Timothy Fosu-Mensah,931,2019-03-03,2019-04-13,57,Scott Parker,7000000,,7000000
123275,Tom Cairney,931,2016-01-09,2018-11-11,60,Slavisa Jokanovic,4000000,18000000,18000000
123275,Tom Cairney,931,2018-11-24,2019-02-27,12,Claudio Ranieri,18000000,15000000,15000000
123275,Tom Cairney,931,2019-03-03,2021-05-23,57,Scott Parker,15000000,15000000,9000000
123275,Tom Cairney,931,2022-01-08,2024-03-16,31,Marco Silva,6000000,5000000,2000000
148657,Tomas Kalas,931,2017-01-29,2018-01-06,60,Slavisa Jokanovic,3000000,5000000,5000000
258878,Tosin Adarabioyo,931,2020-10-18,2021-05-23,57,Scott Parker,2800000,10000000,10000000
258878,Tosin Adarabioyo,931,2022-01-08,2024-03-16,31,Marco Silva,15000000,18000000,15000000
528888,Tyrese Francois,931,2021-05-23,2021-05-23,57,Scott Parker,150000,,150000
528888,Tyrese Francois,931,2022-01-08,2024-01-30,31,Marco Silva,500000,500000,500000
52769,Willian,931,2022-09-03,2024-03-16,31,Marco Silva,4000000,3000000,3000000
477758,Aaron Wan-Bissaka,985,2019-08-11,2021-11-20,40,Ole Gunnar Solskjær,35000000,40000000,40000000
477758,Aaron Wan-Bissaka,985,2021-12-05,2022-05-22,46,Ralf Rangnick,40000000,38000000,30000000
477758,Aaron Wan-Bissaka,985,2022-08-07,2024-03-17,18,Erik ten Hag,25000000,25000000,20000000
177847,Adnan Januzaj,985,2014-08-16,2016-05-10,29,Louis van Gaal,10000000,10000000,7000000
811779,Alejandro Garnacho,985,2022-04-16,2022-05-22,46,Ralf Rangnick,,,
811779,Alejandro Garnacho,985,2022-08-07,2024-03-17,18,Erik ten Hag,2000000,40000000,40000000
255755,Alex Telles,985,2020-10-17,2021-11-20,40,Ole Gunnar Solskjær,40000000,35000000,20000000
255755,Alex Telles,985,2021-12-05,2022-05-22,46,Ralf Rangnick,20000000,18000000,18000000
40433,Alexis Sánchez,985,2018-01-26,2018-12-16,25,José Mourinho,70000000,70000000,55000000
40433,Alexis Sánchez,985,2018-12-22,2019-05-05,40,Ole Gunnar Solskjær,45000000,,45000000
336077,Altay Bayındır,985,2024-01-28,2024-03-09,18,Erik ten Hag,10000000,,10000000
536835,Amad Diallo,985,2021-02-09,2021-11-20,40,Ole Gunnar Solskjær,15000000,18000000,18000000
536835,Amad Diallo,985,2021-12-05,2022-05-22,46,Ralf Rangnick,18000000,18000000,18000000
536835,Amad Diallo,985,2022-08-07,2024-03-17,18,Erik ten Hag,15000000,18000000,18000000
99343,Ander Herrera,985,2014-08-16,2016-05-21,29,Louis van Gaal,27000000,28000000,28000000
99343,Ander Herrera,985,2016-08-07,2018-12-16,25,José Mourinho,28000000,30000000,30000000
99343,Ander Herrera,985,2018-12-22,2019-05-05,40,Ole Gunnar Solskjær,28000000,,28000000
22491,Anders Lindegaard,985,2014-08-16,2015-05-24,29,Louis van Gaal,2000000,1500000,1500000
31645,Anderson,985,2014-08-16,2015-01-04,29,Louis van Gaal,5000000,,5000000
203394,Andreas Pereira,985,2014-09-14,2016-05-21,29,Louis van Gaal,,2000000,2000000
203394,Andreas Pereira,985,2016-08-07,2018-12-16,25,José Mourinho,2000000,8000000,8000000
203394,Andreas Pereira,985,2018-12-22,2021-08-14,40,Ole Gunnar Solskjær,8000000,20000000,8000000
234509,André Onana,985,2024-02-01,2024-03-17,18,Erik ten Hag,40000000,,40000000
392770,Angel Gomes,985,2017-05-21,2018-12-16,25,José Mourinho,,,
392770,Angel Gomes,985,2018-12-22,2020-01-22,40,Ole Gunnar Solskjær,,4000000,4000000
583189,Anthony Elanga,985,2021-04-08,2021-11-20,40,Ole Gunnar Solskjær,,800000,800000
583189,Anthony Elanga,985,2021-12-05,2022-05-22,46,Ralf Rangnick,800000,15000000,15000000
583189,Anthony Elanga,985,2022-08-07,2023-06-03,18,Erik ten Hag,20000000,25000000,25000000
182877,Anthony Martial,985,2015-09-12,2016-05-21,29,Louis van Gaal,8000000,30000000,30000000
182877,Anthony Martial,985,2016-08-07,2018-12-16,25,José Mourinho,32000000,65000000,60000000
182877,Anthony Martial,985,2018-12-22,2021-11-20,40,Ole Gunnar Solskjær,60000000,60000000,35000000
182877,Anthony Martial,985,2021-12-05,2022-05-22,46,Ralf Rangnick,35000000,32000000,28000000
182877,Anthony Martial,985,2022-08-07,2023-05-28,18,Erik ten Hag,16000000,15000000,15000000
33544,Antonio Valencia,985,2014-08-16,2016-05-21,29,Louis van Gaal,13000000,10000000,8000000
33544,Antonio Valencia,985,2016-08-07,2018-12-16,25,José Mourinho,8000000,10000000,8000000
33544,Antonio Valencia,985,2018-12-22,2019-05-12,40,Ole Gunnar Solskjær,7000000,,7000000
602105,Antony,985,2022-09-04,2024-03-17,18,Erik ten Hag,35000000,75000000,28000000
536030,Arnau Puigmal,985,2019-11-28,2019-11-28,40,Ole Gunnar Solskjær,,,
14086,Ashley Young,985,2014-08-16,2016-05-21,29,Louis van Gaal,11000000,10000000,10000000
14086,Ashley Young,985,2016-08-07,2018-12-16,25,José Mourinho,10000000,7000000,7000000
14086,Ashley Young,985,2018-12-22,2020-01-04,40,Ole Gunnar Solskjær,7000000,5000000,4000000
342046,Axel Tuanzebe,985,2015-10-31,2016-05-21,29,Louis van Gaal,,,
342046,Axel Tuanzebe,985,2016-08-07,2018-12-16,25,José Mourinho,,1500000,1500000
342046,Axel Tuanzebe,985,2018-12-22,2021-05-26,40,Ole Gunnar Solskjær,1500000,10000000,8000000
2514,Bastian Schweinsteiger,985,2015-08-08,2016-05-21,29,Louis van Gaal,22000000,18000000,15000000
2514,Bastian Schweinsteiger,985,2016-08-07,2017-02-22,25,José Mourinho,10000000,8000000,5000000
73472,Ben Amos,985,2014-08-16,2014-08-30,29,Louis van Gaal,1000000,,1000000
682562,Björn Hardley,985,2021-12-08,2021-12-08,46,Ralf Rangnick,,,
507700,Brandon Williams,985,2019-09-30,2021-11-20,40,Ole Gunnar Solskjær,,12000000,10000000
507700,Brandon Williams,985,2021-12-05,2022-05-22,46,Ralf Rangnick,10000000,10000000,10000000
507700,Brandon Williams,985,2022-08-07,2023-05-07,18,Erik ten Hag,12000000,10000000,10000000
240306,Bruno Fernandes,985,2020-02-01,2021-11-20,40,Ole Gunnar Solskjær,60000000,90000000,90000000
240306,Bruno Fernandes,985,2021-12-05,2022-05-22,46,Ralf Rangnick,90000000,90000000,90000000
240306,Bruno Fernandes,985,2022-08-07,2024-03-17,18,Erik ten Hag,85000000,75000000,70000000
258879,Cameron Borthwick-Jackson,985,2015-11-07,2016-05-17,29,Louis van Gaal,,1500000,1500000
16306,Casemiro,985,2022-08-27,2024-03-09,18,Erik ten Hag,40000000,50000000,30000000
614262,Charlie McNeill,985,2022-09-08,2022-09-15,18,Erik ten Hag,,,
686837,Charlie Savage,985,2021-12-08,2022-05-22,46,Ralf Rangnick,,600000,600000
50935,Chicharito,985,2014-08-16,2015-08-30,29,Louis van Gaal,14000000,10000000,10000000
103427,Chris Smalling,985,2014-08-16,2016-05-21,29,Louis van Gaal,12000000,19000000,19000000
103427,Chris Smalling,985,2016-08-07,2018-12-16,25,José Mourinho,20000000,20000000,18000000
103427,Chris Smalling,985,2018-12-22,2019-05-12,40,Ole Gunnar Solskjær,18000000,,18000000
69633,Christian Eriksen,985,2022-08-07,2024-03-17,18,Erik ten Hag,20000000,25000000,10000000
8198,Cristiano Ronaldo,985,2021-09-11,2021-11-20,40,Ole Gunnar Solskjær,45000000,,45000000
8198,Cristiano Ronaldo,985,2021-12-05,2022-05-22,46,Ralf Rangnick,45000000,35000000,35000000
8198,Cristiano Ronaldo,985,2022-08-07,2022-11-06,18,Erik ten Hag,30000000,20000000,20000000
531678,D'Mani Mellor,985,2019-11-28,2019-11-28,40,Ole Gunnar Solskjær,,,
12282,Daley Blind,985,2014-09-14,2016-05-21,29,Louis van Gaal,12000000,19000000,19000000
12282,Daley Blind,985,2016-08-07,2018-05-13,25,José Mourinho,22000000,22000000,20000000
319301,Daniel James,985,2019-08-11,2021-08-29,40,Ole Gunnar Solskjær,12000000,28000000,18000000
67063,Danny Welbeck,985,2014-08-16,2014-08-30,29,Louis van Gaal,17000000,,17000000
3547,Darren Fletcher,985,2014-08-16,2015-01-23,29,Louis van Gaal,3000000,,3000000
59377,David de Gea,985,2014-08-16,2016-05-21,29,Louis van Gaal,18000000,35000000,35000000
